house_count,kfs,url,price,cj_count,name,location,year,coordinate,build_type,wy,build_count
162户,成都泰博置业有限公司,http://lixiangchengtb.fang.com/esf/,11588,0套,泰博理想城,东中环二仙桥北一路（二仙桥北一路尽头）,2017-06-01,,塔楼,成都蜀府泰博物业服务有限公司,1栋
770户,成都润富置业有限公司,http://guojihuayuanrf.fang.com/,19480,1套,润富国际花园,交子大道998号（中海国际对面）,2016年建成,,板楼,绿城物业服务集团,6栋
55684户,上海绿地集团成都公司,http://xinlipaikegongguan.fang.com/,14818,664套,新里派克公馆,金粮路566号,2011年建成,,塔楼,鸿山物业,34栋
6户,成都海航基础投资有限公司,http://xiangsonghu028.fang.com/esf/,13410,0套,海航中国集锦润青城,青城山翠月湖镇香颂湖畔,2011-10-01,,"独栋,联排",北京亿城物业管理有限公司,1栋
1732户,成都大明宏信置业有限责任公司,http://chengduwanjia.fang.com/,19260,7套,成都玩家,天府大道与麓山大道交汇处（极地海洋公园旁）,2016年建成,,塔楼,和盟物业,5栋
540户,成都中强实业有限公司,http://xinghuiguangchangzq.fang.com/esf/,23106,0套,星汇广场,东御街88号（天府广场东南侧）,2015-12-01,,塔楼,成都市豪园物业管理有限公司,1栋
4391户,四川嘉元置业有限公司,http://xiangxieguoji.fang.com/,14970,156套,香榭国际,中和大道三段99号(中和街道办旁边),2012年建成,,板塔结合,四川嘉晋物业管理有限公司,9栋
258户,成都锦绣岷江城市建设开发有限公司,http://ytldshjsd028.fang.com/,14230,0套,亚特兰蒂斯黄金时代,牧马山南梨花溪畔,2012年建成,,"联排,独栋",成都波塞冬物业管理有限公司,68栋
10812户,成都森宇实业集团有限公司,http://guojishequnh.fang.com/,15565,182套,南湖国际社区二期,双流南湖西路175号,2012年建成,,塔楼,森宇物业,41栋
2375户,四川星慧投资,http://shujun.fang.com/,18833,186套,蜀郡一期,华府大道一段518号,2010年建成,,塔楼,中铁瑞城物业,33栋
96户,中海振兴（成都）物业发展有限公司,http://chengnanguandizh.fang.com/,48337,4套,中海城南官邸,交子大道119号,2012年建成,,联排,成都中海物业管理有限公司,17栋
10465户,成都双流和骏置业有限公司,http://shengfeidiemanji.fang.com/,15504,390套,蓝光圣菲TOWN城,黄河中路36号,2009年建成,,塔楼,蓝光嘉宝管理顾问有限公司,20栋
515户,成都众怡房地产开发有限公司,http://chengnanyijia.fang.com/esf/,16953,9套,融创长滩壹号,文星镇川大路2段一号 （新川大南门）,2012-06-01,,"独栋,联排,叠拼",四川国嘉物业管理有限公司,103栋
20879户,成都晨明置业有限公司,http://hengdadijingcd.fang.com/,6466,56套,恒大帝景,双柏路6号,2016年建成,,塔楼,金碧物业,25栋
2324户,恒大新北城置业有限公司,http://caojiaxiangguangchanghd.fang.com/,18903,0套,恒大曹家巷广场,一环内马鞍东路与府青路交汇处（中国银行对面）,2017年建成,,塔楼,金碧物业有限公司成都分公司,6栋
