,address,detail,detail_info,line_count,location,name,query_name,street_id,telephone,uid
6afe76fa6d9724c7a3acc488,319路;762路;763路;w22路;w23路;w23路夜间专线;w23路早间专线,0,,3,"{'lat': 30.71132, 'lng': 103.833454}",双瓦窑,双瓦窑,,,6afe76fa6d9724c7a3acc488
6b49fa4b1f160e764107c11f,161路,0,,1,"{'lat': 30.594277, 'lng': 104.09376}",墨香路西,墨香路西,,,6b49fa4b1f160e764107c11f
6b5a5c0eed1b1be82b06ce1b,759路;761路;771路,0,,2,"{'lat': 30.683888, 'lng': 103.830632}",海科路东段,海科路东段,,,6b5a5c0eed1b1be82b06ce1b
6b6afbe2a213faff4107c166,1097路,0,,1,"{'lat': 30.620042, 'lng': 104.06996}",桐梓林中路中,桐梓林中路中,,,6b6afbe2a213faff4107c166
6b97ac9371b4092e5b10935a,226a路;226b路,0,,1,"{'lat': 30.704627, 'lng': 103.972442}",纬一路,纬一路,,,6b97ac9371b4092e5b10935a
6ba047822688701c72210bad,15路;24路;168路;169路;g26路;g89路,0,,4,"{'lat': 30.765049, 'lng': 104.058087}",大丰公交站,大丰公交站,,,6ba047822688701c72210bad
6bd81bf6b9535859f32d83c5,150路;408路;655路,0,,3,"{'lat': 30.718271, 'lng': 104.134845}",新山社区,新山社区,,,6bd81bf6b9535859f32d83c5
6befaf9ad5ba656bd8ecedd6,193路,0,,1,"{'lat': 30.745824, 'lng': 104.12102}",天岭路西,天岭路西,,,6befaf9ad5ba656bd8ecedd6
6bf50c4e4e24c24d2102204b,16路;99路;118路;501路;g67路,0,,3,"{'lat': 30.629046, 'lng': 104.073423}",人南立交桥北,人南立交桥北,,,6bf50c4e4e24c24d2102204b
6c16e611a3f0eefe01294f9d,904路;w28路,0,,1,"{'lat': 30.694356, 'lng': 103.881995}",温泉大道,温泉大道,,,6c16e611a3f0eefe01294f9d
6c57bc8663f77222a3acc4a3,205路,0,,1,"{'lat': 30.750854, 'lng': 103.927065}",西区10线西,西区10线西,,,6c57bc8663f77222a3acc4a3
6c7122022815cbca40e192cb,908路,0,,4,"{'lat': 30.640691, 'lng': 103.916876}",元瑞家居商城,元瑞家居商城,,,6c7122022815cbca40e192cb
6cd6b8d66e38b4884c3a59b5,243路;1062路,0,,1,"{'lat': 30.674111, 'lng': 103.992529}",苏坡桥东街,苏坡桥东街,,,6cd6b8d66e38b4884c3a59b5
6d1a9e42c9489bfaa6da3921,84路;115路;162路;171a路;171b路;801路,0,,3,"{'lat': 30.566495, 'lng': 104.063382}",天府一街益州大道口,天府一街益州大道口,,,6d1a9e42c9489bfaa6da3921
6db85e5b69b047811f389499,814路;816路;s04路;s09路,0,,2,"{'lat': 30.541689, 'lng': 103.973264}",双华场,双华场,,,6db85e5b69b047811f389499
6dd0332f160a30200c3dda35,76路;86路;113路;1021路;1121路,0,,5,"{'lat': 30.687223, 'lng': 104.115191}",桃蹊路西,桃蹊路西,,,6dd0332f160a30200c3dda35
6dd3a8801ecdf9bcd1f49ebf,5路;97路;98路;101路;120路;237路;260路;401路;858路,0,,7,"{'lat': 30.653626, 'lng': 104.1403}",槐树店路,槐树店路,,,6dd3a8801ecdf9bcd1f49ebf
6deee308d66cf56b28fc48bf,成都市新津县花普路,1,"{'tag': '行政地标;村庄', 'navi_location': {'lng': 103.88466114435, 'lat': 30.451117613835}, 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=6deee308d66cf56b28fc48bf&output=html&source=placeapi_v2', 'overall_rating': '0', 'image_num': '1'}",2,"{'lat': 30.454128, 'lng': 103.883701}",光辉村,光辉村,,,6deee308d66cf56b28fc48bf
6e537dcc2fb26f5bad31e58c,3路;27路;34路;72路;74路;92路;102路;112路;1107路,0,,8,"{'lat': 30.647827, 'lng': 104.09796}",九眼桥北,九眼桥北,,,6e537dcc2fb26f5bad31e58c
6e7ce8d14a48b02d79dbd2f5,1133路,0,,1,"{'lat': 30.711848, 'lng': 104.172583}",火神庙路口,火神庙路口,,,6e7ce8d14a48b02d79dbd2f5
6ee010207c8257ee52e5c517,成都市都江堰市蒲张路复线,1,"{'tag': '行政地标;村庄', 'navi_location': {'lng': 103.69309947062, 'lat': 31.095711829442}, 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=6ee010207c8257ee52e5c517&output=html&source=placeapi_v2', 'overall_rating': '0', 'image_num': '1'}",1,"{'lat': 31.09305, 'lng': 103.693089}",花龙门,花龙门,,,6ee010207c8257ee52e5c517
6f2aff7e11e04be2b75f1e79,173路;205路;314路;p21路,0,,2,"{'lat': 30.77724, 'lng': 103.940897}",模具工业园,模具工业园,,,6f2aff7e11e04be2b75f1e79
6f35103608c62972eee4a594,3路;18路;31路;65路;68路;91路;139路;152g路;172路;181路;238路;511路;517路;824路;1044路,0,,13,"{'lat': 30.608041, 'lng': 104.104616}",琉璃一街,琉璃一街,,,6f35103608c62972eee4a594
6f42097a6b06c5ec88b9885d,1126路,0,,1,"{'lat': 30.653736, 'lng': 104.063076}",染靛街,染靛街,,,6f42097a6b06c5ec88b9885d
6f51efde2ff66c06b05c6ad0,75路;93路;109路;129路,0,,2,"{'lat': 30.691034, 'lng': 104.066033}",西体北路北,西体北路北,,,6f51efde2ff66c06b05c6ad0
6f72e494b1d1bb0a5e0d02ff,154路,0,,1,"{'lat': 30.673782, 'lng': 104.09278}",马镇街,马镇街,,,6f72e494b1d1bb0a5e0d02ff
6fba282988cad25a1f3894e1,四川省成都市郫都区红光高店路东段,1,"{'tag': '出入口;门', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=6fba282988cad25a1f3894e1&output=html&source=placeapi_v2', 'image_num': '1'}",3,"{'lat': 30.775336, 'lng': 103.956359}",西华大学-南门,西华大学南大门,6fba282988cad25a1f3894e1,,6fba282988cad25a1f3894e1
6fddd7fdb952257e3517dc63,成都市彭州市新双路,1,"{'tag': '行政地标;村庄', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=6fddd7fdb952257e3517dc63&output=html&source=placeapi_v2', 'overall_rating': '0', 'image_num': '1'}",2,"{'lat': 31.071367, 'lng': 103.900995}",新华村,新华村,,,6fddd7fdb952257e3517dc63
6fee88566487d65b52e5c548,173路;314a路;314路;705路;p08路;p20路;p21路;p37路,0,,1,"{'lat': 30.790969, 'lng': 103.920662}",西区大道天健路口,西区大道天健路口,,,6fee88566487d65b52e5c548
6ff2971cf6b3ba3f2a3a9f98,四川省成都市武侯区紫荆东路56号,1,"{'tag': '房地产;住宅区', 'navi_location': {'lng': 104.0616955112, 'lat': 30.619328112693}, 'type': 'house', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=6ff2971cf6b3ba3f2a3a9f98&output=html&source=placeapi_v2', 'price': '15001.0', 'overall_rating': '5.0'}",10,"{'lat': 30.619816, 'lng': 104.061967}",桐梓林小区,桐梓林小区,6ff2971cf6b3ba3f2a3a9f98,,6ff2971cf6b3ba3f2a3a9f98
70271395502db465fd0eb0f2,240a路;240b路,0,,1,"{'lat': 30.567213, 'lng': 104.092382}",中和新民社区,中和新民社区,,,70271395502db465fd0eb0f2
702dc18a4dc8dcd3ce04efef,成都市成华区水碾河路17号华联商厦F4,1,"{'tag': '购物;商铺', 'indoor_floor': 'F4', 'type': 'shopping', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=702dc18a4dc8dcd3ce04efef&output=html&source=placeapi_v2', 'price': '0'}",2,"{'lat': 30.652177, 'lng': 104.112447}",海宁皮草城,海宁皮革城,,,702dc18a4dc8dcd3ce04efef
7050ff62fbde6a4009a8d473,659路;660路,0,,2,"{'lat': 30.787652, 'lng': 104.170754}",五龙社区,五龙社区,,,7050ff62fbde6a4009a8d473
7099e05f206aa6ef3ce23100,260路,0,,1,"{'lat': 30.657924, 'lng': 104.208088}",大梁村公交站,大梁村公交站,,,7099e05f206aa6ef3ce23100
70bb68968c5dd46e2fb17e29,四川省成都市龙泉驿区清泰路一段35号,1,"{'tag': '房地产;住宅区', 'navi_location': {'lng': 104.17579545281, 'lat': 30.621155545074}, 'type': 'house', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=70bb68968c5dd46e2fb17e29&output=html&source=placeapi_v2', 'price': '5398.0', 'overall_rating': '3.0'}",2,"{'lat': 30.620121, 'lng': 104.175612}",白鹤小区,白鹤小区,70bb68968c5dd46e2fb17e29,,70bb68968c5dd46e2fb17e29
70cc3f763fdfb3f9e5e96564,1017路,0,,1,"{'lat': 30.564886, 'lng': 104.093523}",府河路东,府河路东,,,70cc3f763fdfb3f9e5e96564
70ccdbafc47751a138e4a653,1084路,0,,2,"{'lat': 30.597613, 'lng': 104.118221}",锦丰二路,锦丰二路,,,70ccdbafc47751a138e4a653
70cee393de167bdf59bbbc59,169路;653路;657路;g24路;新都d2路;新都d4路,0,,2,"{'lat': 30.764231, 'lng': 104.095288}",太平碑,太平碑,,,70cee393de167bdf59bbbc59
70eef5d5c35dbe90b11e3695,金河路3997号,1,"{'tag': '出入口;门', 'navi_location': {'lng': 103.90947949484, 'lat': 30.564349143743}, 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=70eef5d5c35dbe90b11e3695&output=html&source=placeapi_v2', 'image_num': '1'}",2,"{'lat': 30.56432, 'lng': 103.909548}",香邻春天-南门,香邻春天南门,70eef5d5c35dbe90b11e3695,,70eef5d5c35dbe90b11e3695
70f29f1961557718f4b916c7,247路,0,,1,"{'lat': 30.620043, 'lng': 104.066428}",桐梓林中路西,桐梓林中路西,,,70f29f1961557718f4b916c7
70f85e4cd274eaa2250bd05f,546路,0,,1,"{'lat': 30.339846, 'lng': 103.970272}",陈家水碾,陈家水碾,,,70f85e4cd274eaa2250bd05f
71287871ed013cc8bda24039,龙泉街道龙都北路669号,1,"{'tag': '房地产;住宅区', 'navi_location': {'lng': 104.3056064847, 'lat': 30.590211792893}, 'type': 'house', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=71287871ed013cc8bda24039&output=html&source=placeapi_v2', 'price': '8378.0', 'overall_rating': '4.0'}",1,"{'lat': 30.591082, 'lng': 104.305017}",玉龙山庄,玉龙山庄,71287871ed013cc8bda24039,,71287871ed013cc8bda24039
